2020-08-10 09:51:51.832 | INFO     | hagworm.extend.asyncio.base:__init__:72 - 
 __  __   ______   ______   __     __   ______   ______   __    __
/\ \_\ \ /\  __ \ /\  ___\ /\ \  _ \ \ /\  __ \ /\  == \ /\ "-./  \
\ \  __ \\ \  __ \\ \ \__ \\ \ \/ ".\ \\ \ \/\ \\ \  __< \ \ \-./\ \
 \ \_\ \_\\ \_\ \_\\ \_____\\ \__/".~\_\\ \_____\\ \_\ \_\\ \_\ \ \_\
  \/_/\/_/ \/_/\/_/ \/_____/ \/_/   \/_/ \/_____/ \/_/ /_/ \/_/  \/_/
hagworm 3.10.1
python 3.7.8 (v3.7.8:4b47a5b6ba, Jun 27 2020, 04:47:50) 
[Clang 6.0 (clang-600.0.57)]
system Darwin 19.5.0 Darwin Kernel Version 19.5.0: Tue May 26 20:41:44 PDT 2020; root:xnu-6153.121.2~2/RELEASE_X86_64 x86_64
2020-08-10 09:51:51.867 | SUCCESS  | hagworm.extend.asyncio.base:install_uvloop:30 - uvloop 0.14.0 installed
2020-08-10 09:51:51.869 | SUCCESS  | hagworm.extend.asyncio.base:run:93 - Start process no.0
2020-08-10 09:52:25.322 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Connection timeout to host http://dev.jiayouxueba.cn/api/member/external/teacher/signin
2020-08-10 09:52:25.324 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Connection timeout to host http://dev.jiayouxueba.cn/api/member/external/teacher/signin
2020-08-10 09:52:25.326 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Connection timeout to host http://dev.jiayouxueba.cn/api/member/external/teacher/signin
2020-08-10 09:52:25.328 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Connection timeout to host http://dev.jiayouxueba.cn/api/member/external/teacher/signin
2020-08-10 09:52:25.382 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Cannot connect to host dev.jiayouxueba.cn:80 ssl:<ssl.SSLContext object at 0x7fa74a476130> [Connection refused]
2020-08-10 09:52:25.385 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Cannot connect to host dev.jiayouxueba.cn:80 ssl:<ssl.SSLContext object at 0x7fa74a455f30> [Connection refused]
2020-08-10 09:52:25.385 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Cannot connect to host dev.jiayouxueba.cn:80 ssl:<ssl.SSLContext object at 0x7fa74a4764b0> [Connection refused]
2020-08-10 09:52:25.386 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Cannot connect to host dev.jiayouxueba.cn:80 ssl:<ssl.SSLContext object at 0x7fa74a4762f0> [Connection refused]
2020-08-10 09:52:25.386 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Cannot connect to host dev.jiayouxueba.cn:80 ssl:<ssl.SSLContext object at 0x7fa74a476830> [Connection refused]
2020-08-10 09:52:25.386 | ERROR    | __main__:parse:63 - The request  of client is fail, Exception is Cannot connect to host dev.jiayouxueba.cn:80 ssl:<ssl.SSLContext object at 0x7fa74a476670> [Connection refused]
